ID,school,school_name,city,address,lat,lon,ndvi_mean,nlcd_canopy_mean,greenery_index_ndvi_nlcd,nlcd_high_canopy_frac,percent_eligible_frpm_k12
43694846047286,Luigi Aprea Elementary,Luigi Aprea Elementary,Gilroy,9225 Calle del Rey,37.025388,-121.60346,0.3384438886685765,5.201366459627329,0.5548300292637828,0.4115527950310558,0.36
43694846047294,El Roble Elementary,El Roble Elementary,Gilroy,930 Third Street,37.008076,-121.58551,0.3287555048602603,7.842399403874814,0.59075006905314,0.5804769001490314,0.575
43694846047302,Eliot Elementary,Eliot Elementary,Gilroy,475 Old Gilroy Street,37.005988,-121.5617,0.2584262398864667,3.951919493104735,0.4508319726546952,0.2959373835259039,0.78
43694846047310,Glen View Elementary,Glen View Elementary,Gilroy,600 Eighth Street,37.001141,-121.57424,0.2973011455633964,0.6407899639796298,0.43328579722792493,0.0626009191404794,0.74
43694846047328,Las Animas Elementary,Las Animas Elementary,Gilroy,6550 Cimino Street,36.98984,-121.58155,0.1612732779393295,0.0683229813664596,0.28344770954082876,0.0062111801242236,0.413
43694846047336,Rucker Elementary,Rucker Elementary,Gilroy,325 Santa Clara Avenue,37.054209,-121.58602,0.293612567925535,0.0,0.41835973996117154,0.0,0.6409999999999999
43694846098214,South Valley Middle,South Valley Middle,Gilroy,7881 Murray Avenue,37.016304,-121.56703,0.1388230223371302,0.0,0.259172644046853,0.0,0.556
43694846106991,Rod Kelley Elementary,Rod Kelley Elementary,Gilroy,8755 Kern Avenue,37.021191,-121.59161,0.2592175804842792,0.9741647000372624,0.39991212916581276,0.0941497950565147,0.541
43694846111785,Brownell Middle,Brownell Middle,Gilroy,7800 Carmel Street,37.01106,-121.57878,0.4343926890637373,3.91679085941381,0.6311873020550237,0.2784401390958768,0.563
43694926047351,Lakeside Elementary,Lakeside Elementary,Los Gatos,19621 Black Road,37.193221,-122.01823,0.4957504876068123,20.294994410632217,0.9788330236798343,0.6909700658303316,0.109
43695006047369,Loma Prieta Elementary,Loma Prieta Elementary,Los Gatos,23800 Summit Road,37.124979,-121.93844,0.598793106504102,29.96286636860408,1.0,0.8895926477893691,0.135
43695006093058,C. T. English Middle,C. T. English Middle,Los Gatos,23800 Summit Road,37.124979,-121.93844,0.598793106504102,29.96286636860408,1.0,0.8895926477893691,0.11
43695186047377,Almond Elementary,Almond Elementary,Los Altos,550 Almond Avenue,37.384953,-122.10179,0.3485780292922438,9.976643061249844,0.6482147751172744,0.520685799478196,0.1159999999999999
43695186047385,Ardis G. Egan Junior High,Ardis G. Egan Junior High,Los Altos,100 West Portola Avenue,37.396783,-122.11629,0.340986979261317,10.3783850931677,0.6473876814049017,0.5660869565217391,0.1009999999999999
43695186047401,Covington Elementary,Covington Elementary,Los Altos,205 Covington Road,37.370625,-122.10778,0.3131985162732009,6.579078146353584,0.5528029480581925,0.3974406758603554,0.0819999999999999
43695186047435,Georgina P. Blach Junior High,Georgina P. Blach Junior High,Los Altos,1120 Covington Road,37.364574,-122.08286,0.3645824434759652,10.390165155842542,0.6718581491147755,0.5882279895691046,0.044
43695186047450,Loyola Elementary,Loyola Elementary,Los Altos,770 Berry Avenue,37.361368,-122.09337,0.325056445962563,11.44215235491488,0.6494857967948624,0.6899465639368711,0.027
43695186047468,Oak Avenue Elementary,Oak Avenue Elementary,Los Altos,1501 Oak Avenue,37.356799,-122.07143,0.3017911808899028,4.53744876412868,0.505601528448266,0.3255496211650726,0.027
43695186047492,Santa Rita Elementary,Santa Rita Elementary,Los Altos,700 Los Altos Avenue,37.393933,-122.12132,0.3290525450636163,9.18611007578581,0.6144003444229784,0.4584420424897503,0.187
43695186047500,Springer Elementary,Springer Elementary,Mountain View,1120 Rose Avenue,37.371011,-122.09402,0.3049368402048499,7.679627329192546,0.5634268181858936,0.4295652173913043,0.049
43695266047518,Blossom Hill Elementary,Blossom Hill Elementary,Los Gatos,16400 Blossom Hill Road,37.234743,-121.95624,0.294497500089376,12.0756052141527,0.629063892669863,0.7050279329608939,0.07
43695266047526,Daves Avenue Elementary,Daves Avenue Elementary,Los Gatos,17770 Daves Avenue,37.240939,-121.98207,0.4115210706007196,17.165610634861476,0.8378426862577889,0.7968691762951919,0.053
43695266047534,Lexington Elementary,Lexington Elementary,Los Gatos,19700 Old Santa Cruz Highway,37.180458,-121.99249,0.6267053988687659,34.4526145820395,1.0,1.0,0.052
43695266047542,Louise Van Meter Elementary,Louise Van Meter Elementary,Los Gatos,16445 Los Gatos Boulevard,37.230219,-121.96573,0.2594713084728281,8.279592597192897,0.5270930414354655,0.4583281579927959,0.067
43695266047567,Raymond J. Fisher Middle,Raymond J. Fisher Middle,Los Gatos,19195 Fisher Avenue,37.23405,-121.96757,0.1678384643900628,2.4759006211180123,0.33202717360102474,0.2119254658385092,0.0559999999999999
43695344334371,Los Gatos High,Los Gatos High,Los Gatos,20 High School Court,37.221218,-121.97707,0.3821787226724051,11.55570736554466,0.7102037441261171,0.6525897404049186,0.068
43695344337762,Saratoga High,Saratoga High,Saratoga,20300 Herriman Avenue,37.267304,-122.02871,0.2765810901707532,9.252298136645964,0.561588092843189,0.504223602484472,0.034
43695426047575,Luther Burbank Elementary,Luther Burbank Elementary,San Jose,4 Wabash Avenue,37.323556,-121.9267,0.1329474639927035,1.2715865324885078,0.27522191807713786,0.0867188470617468,0.6970000000000001
43695750129940,Latimer,Latimer,San Jose,4250 Latimer Avenue,37.292391,-121.97803,0.2065064902006483,2.656315985591852,0.37492817757186253,0.187926965594336,0.475
43695756047740,Country Lane Elementary,Country Lane Elementary,San Jose,5140 Country Lane,37.298472,-121.99193,0.3129558607399501,10.161490683229813,0.6147920135155601,0.6057142857142858,0.3
43695756047765,Easterbrook Discovery,Easterbrook Discovery,San Jose,4835 Doyle Road,37.303397,-121.98663,0.3026367943800109,7.888364584626848,0.5646879000531273,0.4960884142555571,0.222
43695756047781,Moreland Middle,Moreland Middle,San Jose,4600 Student Lane,37.290191,-121.98411,0.2943844822089756,3.313074819786229,0.47671289248470244,0.199975142928163,0.3829999999999999
43695756047799,George C. Payne Elementary,George C. Payne Elementary,San Jose,3750 Gleason Avenue,37.297438,-121.96742,0.2946811019522095,8.809044601813891,0.5725015113864026,0.6100136662939496,0.314
43695756047807,Gussie M. Baker Elementary,Gussie M. Baker Elementary,San Jose,4845 Bucknall Road,37.283415,-121.98712,0.2866441219733319,3.299913032674867,0.4685239649173589,0.2449993788048205,0.19
43695756047831,Leroy Anderson Elementary,Leroy Anderson Elementary,San Jose,4000 Rhoda Drive,37.30466,-121.9715,0.1854450663998163,1.6022614314115309,0.3349559110802014,0.1226391650099403,0.8540000000000001
43695830102368,Ann Sobrato High,Ann Sobrato High,Morgan Hill,401 Burnett Avenue,37.158768,-121.66775,0.2652279054702744,1.5952857803112004,0.41688417931946825,0.1556000616237867,0.303
43695834333951,Live Oak High,Live Oak High,Morgan Hill,1505 East Main Avenue,37.146484,-121.63401,0.2741038540433178,0.992047713717694,0.41553200816398217,0.0951789264413519,0.42
43695836047914,Nordstrom Elementary,Nordstrom Elementary,Morgan Hill,1425 East Dunne Avenue,37.134513,-121.62614,0.2159092372048523,0.8066119811086254,0.35246244455691444,0.0753169276659209,0.222
