ID,school,city,cluster,ndvi_mean,nlcd_canopy_mean,nlcd_high_canopy_frac,percent_eligible_frpm_k12
43695756047807,Gussie M. Baker Elementary,San Jose,0,0.3137287371268542,5.732385406751121,0.3998544702350443,0.19
43695756047831,Leroy Anderson Elementary,San Jose,0,0.2862567184663933,6.698079704175588,0.4657815732147107,0.8540000000000001
43695836095392,Los Paseos Elementary,San Jose,1,0.3714588163673483,7.69120372700938,0.4725439676357928,0.4039999999999999
43695836100325,Martin Murphy Middle,San Jose,0,0.3501974305783449,6.033472918239859,0.4040822864465344,0.455
43695910132373,Gabriela Mistral Elementary,Mountain View,0,0.2684578986202497,7.391247242739595,0.4739604785048097,0.484
43695910138750,Jose Antonio Vargas Elementary,Mountain View,1,0.3501881933887706,12.115763558069393,0.6499498908581703,0.2339999999999999
43695916047955,Benjamin Bubb Elementary,Mountain View,1,0.3424238266325743,11.088938314318272,0.6691699731363641,0.173
43695916047963,Edith Landels Elementary,Mountain View,1,0.3371999422318217,11.478689079783804,0.5912321569955562,0.211
43695916047971,Amy Imai Elementary,Mountain View,1,0.343816802810272,10.583015664541762,0.6061990032903316,0.111
43695916047989,Isaac Newton Graham Middle,Mountain View,1,0.3505625076706277,10.437931618377275,0.6267339102737188,0.263
43695916048003,Mariano Castro Elementary,Mountain View,1,0.3127052359831195,9.713178223621586,0.6033718971955774,0.8270000000000001
43695916049464,Stevenson Elementary,Mountain View,1,0.3276844505060037,9.234859647998832,0.5876387732127659,0.134
43695916049472,Crittenden Middle,Mountain View,0,0.2722253979134769,7.073567973494299,0.4275051597343938,0.237
43695916049480,Monta Loma Elementary,Mountain View,1,0.3186826191772769,7.200448492059861,0.4762070385794701,0.295
43695916049514,Theuerkauf Elementary,Mountain View,1,0.3463214388169607,9.97714157578974,0.6131823777337442,0.386
43696094334728,Mountain View High,Mountain View,1,0.3822476425287609,9.860520992558556,0.5983588551344128,0.127
43696176048037,August Boeger Middle,San Jose,0,0.2646242706001271,0.7567284326332991,0.0575022996343467,0.8190000000000001
43696176048060,Mt. Pleasant Elementary,San Jose,0,0.2593805258389868,2.2483123801503875,0.153210711065752,0.797
43696176048078,Robert Sanders Elementary,San Jose,0,0.2651901320627344,1.5937670182824986,0.1123126558817472,0.7859999999999999
43696176067227,Valle Vista Elementary,San Jose,0,0.2657863383182773,0.890731113511139,0.0661599150634278,0.657
43696256048086,Anderson (Alex) Elementary,San Jose,1,0.3008441725024872,8.382267335432376,0.5449037123819287,0.5589999999999999
43696256048094,Davis (Caroline) Intermediate,San Jose,0,0.3018385108527984,6.327934277672258,0.4121238472276253,0.618
43696256048102,Christopher Elementary,San Jose,0,0.3234033063491841,8.455092560810964,0.4244571062447084,0.639
43696256048110,Frost (Earl) Elementary,San Jose,0,0.2588777294617711,3.8168737557492953,0.3052927850621266,0.332
43696256048128,Edenvale Elementary,San Jose,0,0.2628530386675378,5.050059954782195,0.3488819119625809,0.6809999999999999
43696256048177,Stipe (Samuel) Elementary,San Jose,0,0.2824703485281755,4.596489863164158,0.3107088920415541,0.606
43696256067243,Santa Teresa Elementary,San Jose,0,0.3155262439901848,5.88459267869646,0.4177188542558108,0.29
43696256068167,Herman (Leonard) Intermediate,San Jose,0,0.2952186533556436,3.779131445622675,0.2984608766092603,0.311
43696256072144,Sakamoto Elementary,San Jose,1,0.3655540435392025,9.217934108580348,0.4772070971255451,0.266
43696256072151,Del Roble Elementary,San Jose,0,0.2713637972485103,4.1823365734893,0.3170364471781353,0.419
43696256072177,Bernal Intermediate,San Jose,0,0.345767678955574,5.415543107156917,0.3757677275265215,0.419
