ID,school_name,city,address,latitude,longitude,percent_eligible_frpm_k12
43696666062111,Herbert Hoover Middle,San Jose,1635 Park Avenue,37.332437,-121.92231,0.63
43696666093074,Los Alamitos Elementary,San Jose,6130 Silberman Avenue,37.22786,-121.88099,0.121
43696666093082,Graystone Elementary,San Jose,6982 Shearwater Drive,37.210665,-121.83774,0.08800000000000001
43696666093090,Rachel Carson Elementary,San Jose,4245 Meg Drive,37.270482,-121.85548,0.47200000000000003
43696666095418,Castillero Middle,San Jose,6384 Leyland Park Drive,37.221497,-121.88191,0.32
43696666119010,Ernesto Galarza Elementary,San Jose,1610 Bird Avenue,37.303525,-121.88686,0.773
43696740140475,Abram Agnew Elementary,San Jose,3534 Zanker Road,37.40643,-121.93425,0.25
43696740140483,Dolores Huerta Middle,San Jose,3556 Zanker Road,37.406908,-121.93501,0.37
43696740141283,Kathleen MacDonald High,San Jose,3588 Zanker Road,37.408099,-121.93356,0.318
43697086049316,Carlton Elementary,San Jose,2421 Carlton Avenue,37.247604,-121.9459,0.053
43697086049332,Dartmouth Middle,San Jose,5575 Dartmouth Drive,37.239598,-121.89671,0.174
43697086049357,Guadalupe Elementary,San Jose,6044 Vera Cruz Drive,37.228769,-121.89693,0.08199999999999999
43697086049373,Lietz Elementary,San Jose,5300 Carter Avenue,37.243765,-121.90302,0.23199999999999998
43697086049407,Noddin Elementary,San Jose,1755 Gilda Way,37.237773,-121.91388,0.152
43697086049415,Oster Elementary,San Jose,1855 Lencar Way,37.255483,-121.91957,0.128
43697086049449,Union Middle,San Jose,2130 Los Gatos-Almaden Road,37.242736,-121.9344,0.078
